          index     length (cm)      period (s)
              0           4.000           6.000
              1           5.000           4.000
              2           5.000           5.000
              3           6.000           5.000
              4           5.000           4.000
              5           4.000           5.000
              6           5.000           6.000
              7           6.000           5.000
              8           4.000           5.000
              9           6.000           6.000
